occupancycode,lob,quality,occ_id
1000,R,MQU,1
1050,R,MQU,1
1051,R,MQU,1
1052,R,MQU,1
1053,R,LQU,1
1054,R,MQU,1
1055,R,MQU,1
1056,R,MQU,1
1100,R,MQU,1
1101,R,MQU,1
1102,R,MQU,1
1103,R,MQU,1
1104,R,MQU,1
1105,R,MQU,1
1106,R,MQU,1
1107,R,MQU,1
1108,R,MQU,1
1109,R,MQU,1
1110,R,MQU,1
1111,R,MQU,1
1112,R,MQU,1
1113,R,MQU,1
1114,R,MQU,1
1115,R,MQU,1
1116,R,MQU,1
1117,R,MQU,1
1118,R,MQU,1
1119,R,MQU,1
1120,R,MQU,1
1121,R,MQU,1
1122,R,MQU,1
1123,R,MQU,1
1150,R,MQU,1
1151,R,MQU,1
1152,R,MQU,1
1153,R,MQU,1
1154,R,MQU,1
1155,R,MQU,1
1156,R,MQU,1
1157,R,MQU,1
1158,R,MQU,1
1159,R,MQU,1
