EVENT_ID,PERIOD_NO,OCC_YEAR,OCC_MONTH,OCC_DAY
19,1,1991,4,28
28,5,1995,11,23
91,7,1997,5,18
10,17,2007,5,13
82,17,2007,11,14
64,18,2008,10,25
1,19,2009,5,23
100,23,2013,5,14
73,26,2016,5,20
55,27,2017,5,28
37,29,2019,11,8
46,29,2019,5,2
20,30,1991,4,28
29,34,1995,11,23
92,36,1997,5,18
11,46,2007,5,13
83,46,2007,11,14
65,47,2008,10,25
2,48,2009,5,23
101,52,2013,5,14
74,55,2016,5,20
56,56,2017,5,28
38,58,2019,11,8
47,58,2019,5,2
21,59,1991,4,28
30,63,1995,11,23
93,65,1997,5,18
12,75,2007,5,13
84,75,2007,11,14
66,76,2008,10,25
3,77,2009,5,23
102,81,2013,5,14
75,84,2016,5,20
57,85,2017,5,28
39,87,2019,11,8
48,87,2019,5,2
22,88,1991,4,28
31,92,1995,11,23
94,94,1997,5,18
13,104,2007,5,13
85,104,2007,11,14
67,105,2008,10,25
4,106,2009,5,23
103,110,2013,5,14
76,113,2016,5,20
58,114,2017,5,28
40,116,2019,11,8
49,116,2019,5,2
23,117,1991,4,28
32,121,1995,11,23
95,123,1997,5,18
14,133,2007,5,13
86,133,2007,11,14
68,134,2008,10,25
5,135,2009,5,23
104,139,2013,5,14
77,142,2016,5,20
59,143,2017,5,28
41,145,2019,11,8
50,145,2019,5,2
24,146,1991,4,28
33,150,1995,11,23
96,152,1997,5,18
15,162,2007,5,13
87,162,2007,11,14
69,163,2008,10,25
6,164,2009,5,23
105,168,2013,5,14
78,171,2016,5,20
60,172,2017,5,28
42,174,2019,11,8
51,174,2019,5,2
25,175,1991,4,28
34,179,1995,11,23
97,181,1997,5,18
16,191,2007,5,13
88,191,2007,11,14
70,192,2008,10,25
7,193,2009,5,23
106,197,2013,5,14
79,200,2016,5,20
61,201,2017,5,28
43,203,2019,11,8
52,203,2019,5,2
26,204,1991,4,28
35,208,1995,11,23
98,210,1997,5,18
17,220,2007,5,13
89,220,2007,11,14
71,221,2008,10,25
8,222,2009,5,23
107,226,2013,5,14
80,229,2016,5,20
62,230,2017,5,28
44,232,2019,11,8
53,232,2019,5,2
27,233,1991,4,28
36,237,1995,11,23
99,239,1997,5,18
18,249,2007,5,13
90,249,2007,11,14
72,250,2008,10,25
9,251,2009,5,23
108,255,2013,5,14
81,258,2016,5,20
63,259,2017,5,28
45,261,2019,11,8
54,261,2019,5,2
